address,japanese,korean,length
",",64,,
.,20,,
0,,,
00E050AB,ユニットも、そんなにもってないみたい。,유닛도 그렇게 많이 가진 것 같진 않아.,52
00x00A1100A,占領しているのだが・・・,점령하고 있긴 한데...,29
00x00A12E94,ブルームーンやイエローコメットに攻撃を！？,블루문이나 옐로 코멧을 공격한다고!?,50
00x00A15C6D,次こそ勝ってみせる！,다음엔 반드시 이기고 말겠다!,40
00x00A1D185,移動力はちゃんと数えとかなきゃね。,이동력은 제대로 세어 둬야지.,40
00x00A23B7B,それで行ってみるかの。,그걸로 가 보겠네.,24
00x00A317E4,主砲での、歩兵系以外の,주포로 보병 계열 이외의,33
00x00D7CE14,虎虎虎虎虎虎虎原,호랑이호랑이호랑이호랑이호랑이호랑이호랑이벌판,69
00x00D95298,を選んじゃったら,선택해 버렸다면,22
00x00D97069,ことはないけれど、ちょっと敵が多すぎるわね。,"없는 건 아니지만, 적이 좀 너무 많네.",50
00x00D997F6,だから　攻撃範囲内におびきよせて使う,,36
00x00D9B747,のこと、おぼえてる？,,20
00x00D9E345,Ｒボタンを押したあと、続けて十字ボタンの下を,"R 버튼을 누른 뒤, 이어서 십자 버튼 아래를",57
00x00DC4C66,おお、さすがだな！,"오, 역시 대단하군!",25
00x00DC55EE,リョウは最初から　わけわからないやつだと,료우는 처음부터 영문을 알 수 없는 녀석이라고,63
00x00DC99A5,あなたたちのおてなみ、,"너희들의 실력,",20
00x00DCB7C1,私が相手するわよ！,내가 상대해 주겠어!,27
00x00DCCA12,それだけじゃないの！,그게 전부가 아니야!,27
00x00DCD329,そうもいかねえか。,그렇게는 안 되겠지.,27
00x00DCED28,輸送ヘリで逃げられないように、護衛艦も,수송 헬기로 도망치지 못하도록 호위함도,55
00x00DCF656,だれだか知らないけど、もうアタマにきた！,"누군지는 모르겠지만, 이제 정말 화났어!",54
00x00DCF712,きみは、おれが時間をかせいでいる間に,너는 내가 시간을 버는 동안에,40
00x00DEE942,範囲をもっている。,사정 범위를 가지고 있다.,34
00x00DEF122,船タイプとのちがいは,선박 타입과의 차이는,29
00x00DEF28F,数字は　もっている量。,숫자는 보유한 양.,24
00x00DEF5FA,副砲のマシンガン。,부포의 기관총.,20
00x00DF6EFA,を用意してると,을 준비해 두면,20
00x00DFC34D,せまいところで戦うようじゃ、ダメだぜ！,좁은 곳에서 싸우면 안 된다!,38
00x00DFC378,間接攻撃のマトにされるだけだからな！,간접 공격의 표적이 될 뿐이니까!,44
00x00EE26F4,マップを送信中よ、しばらく待ってね！！,"맵을 송신 중이야, 잠시만 기다려!!",46
0D9D66A,このあたりは　見とおしが悪いわね・・・。,이 근처는 시야가 좋지 않네...,40
0DC90F3,行きましょうよ！,가자고요!,13
0E08DD4,イーグルなら　ぼくがやりたいっ！,이글이라면 내가 상대하고 싶어!,43
0x,,,
0x0,,,
0x00,,,
0x0000895C,犇Ё皆,총공격,9
0x00008FD4,犇恐僥,돌격,6
0x0000BF2B,猖它燠,정찰,6
0x0000BF49,燻牋峅,포격,6
0x0000BFC2,宇巽妲,전차,6
0x0000C498,宇巽妲,전차,6
0x0000C710,宇巽妲,전차,6
0x0000E9A8,犇：皆,공격,6
0x00011298,鑄。釐,자주포,9
0x000129B2,叛寰粟,로켓포,9
0x0001506A,抵鰌珥,대공포,9
0x00015721,粕視給,미사일,9
0x00015743,椛∬爵,전투기,9
0x0001576C,籌補結,폭격기,9
0x00015954,裃竚粢,전투 헬기,13
0x00015C1D,韭鰛硅,수송 헬기,13
0x00016109,裘糲靤,전함,6
0x00016436,女沿ш,순양함,9
0x00016900,赧笂凪,상륙정,9
0x0001693C,吊蜩葬,잠수함,9
0x000169AE,緒苑加,서원가,9
0x000169C4,氈闡鏐,전천류,9
0x00016A07,願午竚,원오저,9
0x00016A28,蜥涛末,석도말,9
0x00016A5A,健東悄,건동초,9
0x00016B10,瞠關玲,당관령,9
0x00016B1B,蝿翠驫,승취표,9
0x000175C6,醵鴃髓,갹격수,9
0x00017616,蝠顏効,복안효,9
0x00017B7C,闌璢俣,난류오,9
0x00017C4D,禾東釣,화동조,9
0x00017C60,那舞苫,나무점,9
0x00017D74,健涛涛,건도도,9
0x00018120,相嬉縛,상희박,9
0x00018174,払血奉,불혈봉,9
0x00018275,璢齎狒,류재비,9
0x000187D0,売醯琺,매혜법,9
0x000189CF,恫著栫,동저천,9
0x000189FE,鈷罎摩,고담마,9
0x00018F4A,燉躙紹,돈린소,9
0x00018F6D,伏弌丐,해독 불가,13
0x0001940A,ぇ凍瓊,해독 불가,13
0x00019534,獻獗睾,해독 불가,13
0x0001A009,笋悍圀,해독 불가,13
0x0001BA08,殺殺濃,해독 불가,13
0x0001BD89,脾蹴歟,해독 불가,13
0x0001C186,博詩嚊,해독 불가,13
0x0001D9F0,刧丁藷,해독 불가,13
0x0001E332,霜ぞｐ,해독 불가,13
0x0001E530,瞰肓顱,해독 불가,13
0x0001EA89,怨誌認,해독 불가,13
0x0001EBEA,冐聶蒿,해독 불가,13
0x0001ED1E,耄せ驕,해독 불가,13
0x0001EF22,庶麹瑞,해독 불가,13
0x0001F89B,蒹聢賎,해독 불가,13
0x0001F8B1,憑齲ぜ,해독 불가,13
0x0001FAD6,碎蠍せ,해독 불가,13
0x00020738,宋閤諢,해독 불가,13
0x00020CC3,螺嚼諭,해독 불가,13
0x0002123B,似貢せ,해독 불가,13
0x00022D21,鎗劔鎗,창검창,9
0x00024650,鎗劔鎗,창검창,9
0x00029058,劔,,
0x0002AFD8,劔劔劔劔囮劔囮劔,劔劔劔劔囮劔囮劔,24
0x0002C4B8,闊闊闊闊髯髷髯髷髯鴆髯,闊闊闊闊髯髷髯髷髯鴆髯,33
0x0002C7D8,手闊手闊樣髯樣髯樣髯,手闊手闊樣髯樣髯樣髯,30
0x0002CF58,劔劔劔劔囮劔囮劔,劔劔劔劔囮劔囮劔,24
0x0002EED8,劔劔劔劔囮劔囮劔,劔劔劔劔囮劔囮劔,24
0x00032613,蘓髷蘓,소상투소,12
0x0003B79E,鱧肄鳫,가물치훈련기러기,24
0x0003BF99,粢蒟鉞,기장구약나물도끼,24
0x0003C008,鱧裴聶,가물치배섭,15
0x0003C436,鞦銕鳫,그네쇠기러기,18
0x0003C44B,韈跏鞣,버선가부좌무두질,24
0x0003CDBE,鱇礦齏,아귀광석젓갈,18
0x0003CEB4,礦鱸鱧,광석농어가물치,21
0x0003D44F,矍褊賣,놀람좁음판매,18
0x0003D607,聽珎琿,청취보배옥돌,18
0x0003D701,鞣肄褊,무두질훈련좁음,21
0x0003DA23,萵褄赧,상추아내부끄러움,24
0x0003E227,韵靹赱,운율가죽달림,18
0x0003E851,矮貽醇,작음남김순수함,21
0x0003ED10,粮蠱悁,군량독분노,15
0x0003F916,橿昭謄,상수리나무밝음베낌,27
0x0003FAF9,袤肓鴿,길이장님비둘기,21
0x0003FBD5,賍矮瑙,장물작음마노,18
0x0003FE68,冐籤碚,번역 불가(깨진 문자열),31
