address	text
0x00804FD4	0123456789 튜토리얼 캠페인 트라이얼 프리배틀 로드숍 지도편집 통신 처음부터 계속 대전
0x00805B04	도움말자료 전체지도 파일로드 저장이름 종료클리어 바다평지 산숲칠 정보자동
0x009292A0	암초해
0x00929398	통신4
0x009293A4	통신3
0x009293B0	통신2
0x009293BC	통신1
0x00929508	공격기
0x00929538	대공자주포
0x00929544	열차포
0x00929560	보급차
0x00929568	신형전차
0x0092958C	중전차
0x0092959C	전투공병
0x00929674	항복
0x00929820	보낼 지도를 골라요!
0x009298A4	친구들이 모이면 시작 버튼 눌러줘!
0x009298D4	참전 등록 중. 잠시만 기다려!
0x0094298C	레드스타 패배. 타군 항복도 패배. 정말? 종료 공격 합류 대기 시스템
0x00942A44	대기공격합류항복종료닫기시스템
0x00961F28	암초해
0x00962020	통신4
0x0096202C	통신3
0x00962038	통신2
0x00962044	통신1
0x00962190	공격기
0x009621C0	대공자주포
0x009621CC	열차포
0x009621E8	보급차
0x009621F0	신형전차
0x00962214	중전차
0x00962224	전투공병
0x009622FC	항복
0x009624B8	보낼 지도를 골라요!
0x0096253C	친구들이 모이면 시작 버튼 눌러줘!
0x0097AE40	레드스타 패배. 타군 항복도 패배. 정말? 종료 공격 합류 대기 시스템
0x0097AEF8	대기공격합류항복종료닫기시스템
0x0099A7CC	암초해
0x0099A8C4	통신4
0x0099A8D0	통신3
0x0099A8DC	통신2
0x0099A8E8	통신1
0x0099AA34	공격기
0x0099AA64	대공자주포
0x0099AA70	열차포
0x0099AA8C	보급차
0x0099AA94	신형전차
0x0099AAB8	중전차
0x0099AAC8	전투공병
0x0099ABA0	항복
0x0099AD5C	보낼 지도를 골라요!
0x0099AD78	지도　보낼　상대없어
0x0099ADE0	친구들이 모이면 시작 버튼 눌러줘!
0x009B1FF9	정말 항복할래
0x009B36E4	레드스타 패배. 타군 항복도 패배. 정말? 종료 공격 합류 대기 시스템
0x009D3070	암초해
0x009D3168	통신4
0x009D3174	통신3
0x009D3180	통신2
0x009D318C	통신1
0x009D32D8	공격기
0x009D3308	대공자주포
0x009D3314	열차포
0x009D3330	보급차
0x009D3338	신형전차
0x009D335C	중전차
0x009D336C	전투공병
0x009D3444	항복
0x009D3570	맵 수신 중 기다려
0x009D3600	보낼 지도를 골라요!
0x009D3684	친구들이 모이면 시작 버튼 눌러줘!
0x009EBF88	레드스타 패배. 타군 항복도 패배. 정말? 종료 공격 합류 대기 시스템
0x009EC040	대기공격합류항복종료닫기설정
0x009EEF50	리셋
0x00A01970	워즈 월드의 대륙 하나,
0x00A01994	매크로 랜드.
0x00A019AB	이 땅에,
0x00A019BB	 침략자 블랙홀군의
0x00A019D4	손길이 뻗고 있었다
0x00A019F8	호크는 있나!
0x00A01A0C	여기에...
0x00A01A1A	헬보우즈 님.
0x00A01A2C	매크로 랜드 침공은,
0x00A01A46	어찌 됐나?
0x00A01A5C	각 사령관 모두,
0x00A01A70	공격 준비를 끝낸 참입니다.
0x00A01A94	목적은,
0x00A01A9D	알고 있겠지?
0x00A01AB0	매크로 랜드를
0x00A01AC1	워즈 월드 안에서
0x00A01ADE	블랙홀군 거점으로...
0x00A01B08	음.
0x00A01B0F	예전에 
0x00A01B18	나는 이
0x00A01B21	 별 안에서 전쟁을
0x00A01B3F	그 틈에 공략하려 했지만 실패했다.
0x00A01B68	코스모랜드에서도
0x00A01B7B	그랬다.
0x00A01B88	공격했지.
0x00A01B98	다신 실패없다
0x00A01BA9	이번엔 거점 건설,
0x00A01BBD	차근차근 공략하겠다.
0x00A01BD8	그러려면
0x00A01BE6	물자와 자금도 모아야 하지만...
0x00A01C10	그 점은,
0x00A01C1B	걱정 마.
0x00A01C2A	각 장군에게 명령했다.
0x00A01C49	점령지에서
0x00A01C59	곧 모일 것입니다.
0x00A01C78	기대한다.
0x00A01C88	네!
0x00A01C90	블랙홀 군의
0x00A01CA3	잔당을 격파하라!
0x00A01CB8	블랙홀 접근
0x00A01CD5	다리 방어전
0x00A01CF0	바다　사이로　대치한　양군
0x00A01D0D	정면　결전　시작
0x00A01D24	해상서 날아온 적 비행대!
0x00A01D41	육상부대 격파 가능할까!?
0x00A01D60	해상 작은 섬의 적 부대.
0x00A01D9C	갑자기 나타난 포대!
0x00A01DD0	산속 적 연구소.
0x00A01DE1	과연 제압 가능할까!?
0x00A01DFC	마침내　적　본거지　발견
0x00A01E15	자국을　되찾을까
0x00A01E30	블랙홀 접근
0x00A01E4D	다리 방어전
0x00A01E68	바다 너머 대치한 양군
0x00A01E83	정면　결전　시작
0x00A01E9C	갑자기 나타난 포대!
0x00A01EFC	육상　부대　없음
0x00A01F0F	해공 적을 전멸시켜
0x00A01F58	산속 연구소
0x00A01F67	과연 제압 가능할까!?
0x00A01F84	마침내　적　본거지　발견
0x00A01F9D	자국을　되찾을까
0x00A01FB8	기지를 적에게 넘기지 마
0x00A01FD5	아군이 확보해 발사!
0x00A01FF0	우뚝 솟은 적 요새.
0x00A02005	아스카의　공략　작전은
0x00A02020	고요한 해변
0x00A0202F	전투가 시작된다...
0x00A02048	마을　구출　키쿠치요
0x00A02063	적　신병기가　기다린다
0x00A020AC	갑작스런　제안
0x00A020BF	블랙홀군 속셈은...?
0x00A020E0	발견한 적 연구소
0x00A020F3	뜻밖의 아군은?
0x00A02110	결전의 때 왔다
0x00A02174	적　중전차대　접근
0x00A021C8	적 대형미사일의
0x00A021EC	이반을　덮친　강력한　공격
0x00A0220B	원군까지　버틸　수　있을까
0x00A0222C	기다리는 캐논 3대
0x00A02245	이　숲을　어찌　넘지
0x00A0225C	발견한 적 연구소
0x00A02288	결전의 때 왔다
0x00A022BC	해상에　나타난　요새
0x00A022E8	호크 공격에 몰린
0x00A0231C	수리하러　온　주력　전함
0x00A02354	스네이크 함정에 빠졌다
0x00A0236D	도미노 구출!
0x00A0237C	해군으로 압박하는 모프
0x00A02397	호크와 공중전. 승자는?
0x00A023B8	화산 옆으로 적 접근.
0x00A023EC	적　연구소를　점령
0x00A02401	신형전차　설계도　탈취
0x00A0247F	적 대형미사일 발사를 막아라!
0x00A024D9	 생각보다 강해서...
0x00A024F8	핑계 대지 마!
0x00A02580	침묵
0x00A025A9	피해가 계속 늘어!
0x00A025D9	남은 부대로 어떻게든 해.
0x00A02628	후,
0x00A0262F	큰 부대는 막아냈지만
0x00A02654	블랙홀 군은
0x00A0266B	성가신 상대야.
0x00A02684	사령!
0x00A026AE	이제 추격합니다
0x00A026C8	확인.
0x00A026D1	뒤는 내게 맡겨.
0x00A026F7	다친 데 없나
0x00A02713	료
0x00A0271E	갑자기 불러 
0x00A0272D	미안해
0x00A0275F	큰 부대는 정리됐어.
0x00A027C4	무슨 소리야
0x00A02816	사람을 이끄는 지휘관으론
0x00A02841	실전 경험은 부족해
0x00A028B8	빨간 유닛이 네 부대야
0x00A028E3	적군은
0x00A028EC	오른쪽 위 검은 유닛
0x00A02908	이번 목표는
0x00A0291F	적 본부 점령
0x00A02934	또는 적 전멸
0x00A02945	이 땅을 되찾는 거야
0x00A0295E	당하지 않게 조심해서
0x00A02982	진군하자!
0x00A029A4	바로 출발하자
0x00A029B8	서두르지 마
0x00A029CC	서둘러 가도
0x00A029E0	져 버리면 아무 소용없어
0x00A02A03	전투 전에
0x00A02A48	먼저
0x00A02A4F	유닛에 명령하려면
0x00A02A6E	커서를 써
0x00A02A7B	봐
0x00A02A86	십자 버튼으로 이동해
0x00A02AA3	그럼
0x00A02AAC	유닛에 명령을 내려보자
0x00A02ACF	원하는 유닛에 화살표를 맞춰
0x00A02AF5	결정해
0x00A02B08	선택한
0x00A02B11	종료는
0x00A02B1F	할 일이 없을 때
0x00A02B37	스스로 판단할 때의 명령이야
0x00A02B56	이걸 고르면
0x00A02B65	아군 행동이 끝나고
0x00A02B7D	적 차례가 돼
0x00A02B9A	지금은
0x00A02BAE	유닛에게 명령부터 내려
0x00A02BD4	보병이야
0x00A02BE4	전투력은 낮지만
0x00A02BFA	전투엔 꼭 필요한 유닛이야
0x00A02C2D	목표 기억하지?
0x00A02C60	적 전멸 또는
0x00A02C73	본부 점령이야
0x00A02C8C	잘 기억했네
0x00A02CA3	점령 가능한 건 
0x00A02CB6	보병 계열 유닛
0x00A02CCF	뿐이야
0x00A02CDB	물론
0x00A02CE6	보병도 포함돼
0x00A02D00	맞아!
0x00A02D0D	보병 없으면
0x00A02D2C	
0x00A02D33	점령 못 해
0x00A02D66	점령은
0x00A02D77	적군 중립 거점에서
0x00A02D92	할 수 있어
0x00A02DA3	거기로 가면
0x00A02DBF	점령 
0x00A02DC8	명령이 나와
0x00A02DE8	그럼
0x00A02DEF	다음은 유닛을 움직여 보자
0x00A02E13	 유닛 주위 색이 바뀌어 있지
0x00A02E44	이동 가능 범위야
0x00A02E7F	할 일 없을 땐
0x00A02E96	대기를
0x00A02E9F	골라
0x00A02EB0	그건 수송차야
0x00A02EC2	전투는 못 해
0x00A02ED3	
0x00A02F00	
0x00A02F0D	
0x00A02F23	
0x00A02F30	
0x00A02F60	
0x00A02F75	
0x00A02F88	보병을 수송차 위로
0x00A02FAA	탑승
0x00A02FB3	명령이 나와
0x00A02FD0	탑승한 유닛은
0x00A02FE5	하차
0x00A02FEE	명령으로
0x00A02FF9	내릴 수 있어
0x00A03010	이렇게 운반하면
0x00A03027	느린 보병도
0x00A03038	본부까지 금방 가
0x00A0306D	보병은 이동력 3이지만
0x00A03087	수송차는 6이나 되니까
0x00A030A9	
0x00A030E4	하차한 유닛은 그 자리서 대기하고,
0x00A0310F	이동 불가 지형엔 내릴 수 없어
0x00A03154	바다엔 내리지 마
0x00A0316B	빠질 수 있어
0x00A0317E	
0x00A03190	알았어
0x00A0319B	
0x00A031A8	
0x00A031CC	전투나 이동하면
0x00A031EE	
0x00A031F9	탄약
0x00A0320A	가 줄어
0x00A0321B	주포탄 없으면 공격
0x00A03244	약해
0x00A0324D	연료 없으면 못 움직여
0x00A0326E	수송차는
0x00A03277	　보급
0x00A03285	　주변에 있는
0x00A0329A	탄약 연료를 회복시켜
0x00A032C3	하루 시작엔 자동으로 보급
0x00A032EF	급할 땐
0x00A032F8	보급
0x00A03301	보급 명령을 쓰면 좋아
0x00A03332	수송차는 아군
0x00A03341	도와주는 유닛이네
0x00A03397	 유닛 주위 색이 바뀌어 있지
0x00A033BF	그건
0x00A033C8	이동 가능 범위야
0x00A03403	할 게 없을 땐
0x00A0341A	대기
0x00A03423	골라 줘
0x00A03434	범위를 잘 봐
0x00A03457	수송차는 산에 못 가
0x00A03493	이동 타입
0x00A034AE	지형 이동 비용과 제한이 달라
0x00A034D9	수송차 이동타입은
0x00A034EE	전차형
0x00A034FE	전차 타입은,
0x00A0350D	산이나 강엔 못 가
0x00A03528	이동 타입 확인은
0x00A03543	유닛 위에서
0x00A03552	정보 키
0x00A03564	눌러 봐
0x00A0357C	어떤 지형을 누가 지나는지
0x00A035BB	지형 위에서 정보 키
0x00A035D6	정보 키로 확인해
0x00A03624	종료
0x00A0362D	로 아군 행동을 끝내자
0x00A0364E	빈칸에서 결정하면
0x00A03689	맨 아래에 있는
0x00A0369A	종료
0x00A036AF	블랙홀군 행동으로 넘어가
0x00A03734	저기
0x00A037CE	억지로
0x00A03817	멋대로 두진 않겠어
0x00A03834	좋은 기세야
0x00A03842	믿고 있을게
0x00A0389C	직접공격
0x00A038BC	직접 공격은
0x00A038D1	적 옆까지
0x00A038DC	이동한 뒤,
0x00A038EB	공격하는 거야
0x00A03915	직접 공격은
0x00A03922	 적 옆에서 싸우니까
0x00A0393A	네가 공격한 뒤
0x00A0394D	꼭 적의
0x00A0395B	반격 받아
0x00A039BA	먼저 공격하는 편이 유리해!
0x00A039E4	그렇군
0x00A039ED	공격해서 적 체력을 줄이면
0x00A03A11	반격받아도 피해는 적어져
0x00A03A3A	그렇구나
0x00A03A46	선공 필승이네
0x00A03A5C	피해를 입으면
0x00A03A71	유닛 위에
0x00A03A80	남은 체력이 표시돼
0x00A03A9F	체력이 다 줄면
0x00A03AB2	그 유닛은 사라져
0x00A03ACD	그러니
0x00A03ADA	꼭 조심해
0x00A03AED	적 옆으로 가면
0x00A03B02	행동 메뉴에
0x00A03B16	공격
0x00A03B1F	명령이 나와
0x00A03B32	고른 뒤 대상을 정하면
0x00A03B5A	전투 시작
0x00A03B67	간단하지
0x00A03B78	응
0x00A03B7F	불타오른다
0x00A03B90	왼쪽에 검은 상태창이야
0x00A03BB1	이건
0x00A03BB8	상태창
0x00A03BCF	이라고 해
0x00A03BDA	하트 숫자는 체력
0x00A03BF2	탱크 숫자는 남은 연료
0x00A03C0F	주포 유닛이면
