address,japanese,korean,compact_len,slot_len,overflow_bytes,freq
0x00A29C63,できる。,할 수 있다.,9,8,1,26
0x00A2B03B,できる。,할 수 있다.,9,8,1,26
0x00A31733,できる。,할 수 있다.,9,8,1,26
0x00A31C9A,できる。,할 수 있다.,9,8,1,26
0x00A323BA,できる。,할 수 있다.,9,8,1,26
0x00A32620,できる。,할 수 있다.,9,8,1,26
0x00A32808,できる。,할 수 있다.,9,8,1,26
0x00A32B16,できる。,할 수 있다.,9,8,1,26
0x00A32BA2,できる。,할 수 있다.,9,8,1,26
0x00A32F32,できる。,할 수 있다.,9,8,1,26
0x00A330F0,できる。,할 수 있다.,9,8,1,26
0x00A33C6C,できる。,할 수 있다.,9,8,1,26
0x00A33E14,できる。,할 수 있다.,9,8,1,26
0x00DECB8A,できる。,할 수 있다.,9,8,1,26
0x00DED2E8,できる。,할 수 있다.,9,8,1,26
0x00DED5B0,できる。,할 수 있다.,9,8,1,26
0x00DED9F4,できる。,할 수 있다.,9,8,1,26
0x00DEDC72,できる。,할 수 있다.,9,8,1,26
0x00DEDE1A,できる。,할 수 있다.,9,8,1,26
0x00DEE03C,できる。,할 수 있다.,9,8,1,26
0x00DEE150,できる。,할 수 있다.,9,8,1,26
0x00DEE39A,できる。,할 수 있다.,9,8,1,26
0x00DEE604,できる。,할 수 있다.,9,8,1,26
0x00DEE9D2,できる。,할 수 있다.,9,8,1,26
0x00DEF36A,できる。,할 수 있다.,9,8,1,26
0x00DF59AD,できる。,할 수 있다.,9,8,1,26
0x00A048CA,だから、,"그러니까,",9,8,1,8
0x00A10664,だから、,"그러니까,",9,8,1,8
0x00A15318,だから、,"그러니까,",9,8,1,8
0x00A224E3,だから、,"그러니까,",9,8,1,8
0x00A25E7B,だから、,"그러니까,",9,8,1,8
0x00D92527,だから、,"그러니까,",9,8,1,8
0x00DA1C80,だから、,"그러니까,",9,8,1,8
0x00DCB8B3,だから、,"그러니까,",9,8,1,8
0x00804FC8,はいえ▼,예아니오▼,10,8,2,6
0x00942A38,はいえ▼,예아니오▼,10,8,2,6
0x0097AEEC,はいえ▼,예아니오▼,10,8,2,6
0x009B3790,はいえ▼,예아니오▼,10,8,2,6
0x009EC034,はいえ▼,예아니오▼,10,8,2,6
0x00EFAB80,はいえ▼,예아니오▼,10,8,2,6
0x00A2C404,アニメを表示しません,애니메이션을 표시하지 않습니다,28,20,8,6
0x00A2C570,アニメを表示しません,애니메이션을 표시하지 않습니다,28,20,8,6
0x00A34E40,アニメを表示しません,애니메이션을 표시하지 않습니다,28,20,8,6
0x00DF2C04,アニメを表示しません,애니메이션을 표시하지 않습니다,28,20,8,6
